model,level,category,sample_count,uniformity,rank_within_model
LAION,meta_domain,Music,43139,-2.2127418518066406,1
LAION,meta_domain,Sports_Action,3747,-2.52097749710083,2
LAION,meta_domain,Machine_Vehicle,11728,-2.5336661338806152,3
LAION,meta_domain,Animal,21325,-2.5521039962768555,4
LAION,meta_domain,Human,18694,-2.5593135356903076,5
LAION,meta_domain,Tool_Mechanism,5651,-2.6167209148406982,6
LAION,meta_domain,Nature,9919,-2.687143564224243,7
LAION,meta_domain,Home_Everyday,5448,-2.693310022354126,8
LAION,meta_domain,Other,32852,-2.828853130340576,9
M2D,meta_domain,Machine_Vehicle,15461,-1.7285287380218506,1
M2D,meta_domain,Nature,12820,-1.8076519966125488,2
M2D,meta_domain,Sports_Action,4924,-1.8217693567276,3
M2D,meta_domain,Music,57167,-1.8306622505187988,4
M2D,meta_domain,Tool_Mechanism,7416,-1.9015772342681885,5
M2D,meta_domain,Animal,27570,-1.9204025268554688,6
M2D,meta_domain,Home_Everyday,7121,-1.9661953449249268,7
M2D,meta_domain,Human,23663,-2.0437684059143066,8
M2D,meta_domain,Other,42952,-2.069422721862793,9
MGA,meta_domain,Music,57167,-2.395749092102051,1
MGA,meta_domain,Machine_Vehicle,15461,-2.514331579208374,2
MGA,meta_domain,Nature,12820,-2.795954704284668,3
MGA,meta_domain,Tool_Mechanism,7416,-2.832064151763916,4
MGA,meta_domain,Sports_Action,4924,-2.90350604057312,5
MGA,meta_domain,Animal,27570,-3.011192798614502,6
MGA,meta_domain,Home_Everyday,7121,-3.0400047302246094,7
MGA,meta_domain,Human,23663,-3.100156307220459,8
MGA,meta_domain,Other,42952,-3.241546154022217,9
MSCLAP,meta_domain,Machine_Vehicle,6982,-1.7772421836853027,1
MSCLAP,meta_domain,Nature,6091,-1.991249918937683,2
MSCLAP,meta_domain,Music,25136,-2.071709394454956,3
MSCLAP,meta_domain,Tool_Mechanism,3295,-2.1486523151397705,4
MSCLAP,meta_domain,Sports_Action,2371,-2.234820604324341,5
MSCLAP,meta_domain,Animal,13166,-2.308210611343384,6
MSCLAP,meta_domain,Home_Everyday,3386,-2.3607378005981445,7
MSCLAP,meta_domain,Human,12227,-2.3720390796661377,8
MSCLAP,meta_domain,Other,19601,-2.578286647796631,9
